lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
24.6154,121.8373,village,隘丁,Aiding,-2626844,PPL,populated place,GNS
24.924444,121.883056,village,橋板湖,Qiaobanhu,-2627485,PPL,populated place,GNS
24.6783,121.830963,village,加禮宛,Jialiwan,-2628243,PPL,populated place,GNS
24.7077,121.818,village,茅仔寮,Maoziliao,-2628211,PPL,populated place,GNS
24.6915,121.8351,village,清水,Qingshui,-2628067,PPL,populated place,GNS
24.675,121.825,village,,Xiushui,100418,PPL,populated place,GNS
24.816944,121.818889,village,竹安,Zhu'an,100429,PPL,populated place,GNS
24.398611,121.778056,village,長水引,Changshuiyin,6341410,PPL,populated place,GNS
24.326111,121.765556,village,漢本,Hanben,6341422,PPL,populated place,GNS
24.88,121.842778,village,大澳,Da'ao,6425172,PPL,populated place,GNS
24.920556,121.871944,village,北勢坑,Beishikeng,6425193,PPL,populated place,GNS
24.933333,121.884722,village,罟寮,Guliao,6425200,PPL,populated place,GNS
24.793611,121.815,village,上大福,Shangdafu,6425154,PPL,populated place,GNS
24.958056,121.916389,village,沙灣,Shawan,6425212,PPL,populated place,GNS
24.953333,121.915556,village,鼻子澳,Bizi'ao,6425213,PPL,populated place,GNS
24.9475,121.903056,village,蕃仔澳,Fanzi'ao,6425216,PPL,populated place,GNS
24.788333,121.808056,village,新發,Xinfa,6425256,PPL,populated place,GNS
24.7875,121.814722,village,社尾,Shewei,6425257,PPL,populated place,GNS
24.622393,121.833625,village,馬賽,Masai,10020738,PPL,populated place,GNS
24.5407,121.8711,village,九宮里,Jiugongli,10020757,PPL,populated place,GNS
24.65452,121.818214,village,五十二甲,Wushi'erjia,10020781,PPL,populated place,GNS
24.6717,121.8182,village,青仔地,Qingzidi,10020783,PPL,populated place,GNS
24.674061,121.822696,village,流流,Liuliu,10020784,PPL,populated place,GNS
24.678879,121.825743,village,社尾,Shewei,10020785,PPL,populated place,GNS
24.6911,121.8155,village,下孝威,Xiaxiaowei,10020787,PPL,populated place,GNS
24.6866,121.8138,village,松子脚,Songzijiao,10020788,PPL,populated place,GNS
24.6971,121.8211,village,一百甲,Yibaijia,10020801,PPL,populated place,GNS
24.646255,121.829733,village,區界,Qujie,10020803,PPL,populated place,GNS
24.640694,121.832255,village,育英,Yuying,10020804,PPL,populated place,GNS
24.617062,121.833761,village,新馬,Xinma,10020809,PPL,populated place,GNS
24.618091,121.843208,village,田心,Tianxin,10020810,PPL,populated place,GNS
24.551626,121.867245,village,七公里,Qigongli,10020830,PPL,populated place,GNS
24.568396,121.869593,village,五公里,Wugongli,10020831,PPL,populated place,GNS
24.604901,121.86307,village,岩嘴,Yanzui,10020873,PPL,populated place,GNS
24.574667,121.867856,village,盡澳坑,Jin'aokeng,10020888,PPL,populated place,GNS
24.556317,121.863393,village,南蘇澳,Nansu'ao,10020889,PPL,populated place,GNS
24.666895,121.830195,village,寶斗厝,Baodoucuo,10020898,PPL,populated place,GNS
24.825556,121.817222,village,王通塭,Wangtongwen,-2640062,PPL,populated place,GNS
24.940278,121.8925,village,大溪,Daxi,-2637748,PPL,populated place,GNS
24.802778,121.817222,village,大福,Dafu,-2637734,PPL,populated place,GNS
24.885833,121.848333,village,外澳,Wai'ao,-2639935,PPL,populated place,GNS
24.856111,121.822778,village,頭城,Toucheng,-2639167,PPL,populated place,GNS
24.863889,121.826944,village,武營,Wuying,-2640593,PPL,populated place,GNS
24.838056,121.823889,village,打馬煙,Damayan,-2638138,PPL,populated place,GNS
24.719175,121.827083,village,東港,Donggang,-2639642,PPL,populated place,GNS
24.717887,121.812804,village,霧罕,Wuhan,-2640364,PPL,populated place,GNS
24.623196,121.850439,village,大坑罟,Dakenggu,-2637993,PPL,populated place,GNS
24.857222,121.831389,village,大坑,Dakeng,-2637985,PPL,populated place,GNS
24.627508,121.8419,village,功勞埔,Gonglaobu,-2639450,PPL,populated place,GNS
24.671709,121.813595,village,三堵,Sandu,-2636277,PPL,populated place,GNS
24.763889,121.801944,village,十三股,Shisangu,-2636951,PPL,populated place,GNS
24.833333,121.823333,village,三抱竹,Sanbaozhu,-2636225,PPL,populated place,GNS
24.757222,121.804167,village,十八甲,Shibajia,-2636899,PPL,populated place,GNS
24.61468,121.845906,village,三面城,Sanmiancheng,-2636208,PPL,populated place,GNS
24.769722,121.815,village,三塊厝,Sankuaicuo,-2636175,PPL,populated place,GNS
24.6,121.866667,village,,Beibinli,-2635443,PPL,populated place,GNS
24.915833,121.88,village,北關,Beiguan,-2635415,PPL,populated place,GNS
24.875556,121.839167,village,北港口,Beigangkou,-2635394,PPL,populated place,GNS
24.602837,121.875688,village,北方澳,Beifang'ao,-2635368,PPL,populated place,GNS
24.59559,121.85219,village,蘇澳,Su'ao,-2637495,PPL,populated place,GNS
24.694832,121.811382,village,四百名,Sibaiming,-2637456,PPL,populated place,GNS
24.780833,121.812778,village,社頭,Shetou,-2636714,PPL,populated place,GNS
24.729649,121.822468,village,廍後,Pouhou,-2635885,PPL,populated place,GNS
24.6502,121.8283,village,埤仔尾,Piziwei,-2635805,PPL,populated place,GNS
24.343056,121.769722,village,谷風,Gufeng,-2635046,PPL,populated place,GNS
24.761111,121.816111,village,鼻頭,Bitou,-2635779,PPL,populated place,GNS
24.667654,121.823648,village,利澤簡,Lizejian,-2633420,PPL,populated place,GNS
24.901389,121.863333,village,梗枋,Gengfang,-2632438,PPL,populated place,GNS
