lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
22.65,120.383333,hamlet,,Dajiao,-2637604,PPL,populated place,GNS
22.9,120.383333,hamlet,,Xiamaoshan,-2630455,PPL,populated place,GNS
22.65,120.35,hamlet,,Waijia,-2639939,PPL,populated place,GNS
22.733333,120.433333,hamlet,,Buzicuo,-2635959,PPL,populated place,GNS
22.783333,120.35,hamlet,,Fangnan,-2629344,PPL,populated place,GNS
22.9,120.4,hamlet,,Fatoulu,-2629475,PPL,populated place,GNS
22.7,120.416667,hamlet,,Shejiao,-2636616,PPL,populated place,GNS
22.716667,120.416667,hamlet,,Louzi,-2633601,PPL,populated place,GNS
22.7,120.383333,hamlet,,Daqiuyuan,-2637651,PPL,populated place,GNS
22.85,120.366667,hamlet,,Tiancaolun,-2638866,PPL,populated place,GNS
22.816667,120.25,hamlet,,Benzhou,-2635553,PPL,populated place,GNS
22.716667,120.333333,hamlet,,Zhumen,-2628655,PPL,populated place,GNS
23.016667,120.483333,hamlet,,Shuiquan,-2637200,PPL,populated place,GNS
22.616667,120.366667,hamlet,,Shangxiexincun,-2636403,PPL,populated place,GNS
22.55,120.366667,hamlet,,Erqiao,-2629223,PPL,populated place,GNS
22.547222,120.409722,hamlet,,Houbilin,-2630203,PPL,populated place,GNS
23.133333,120.716667,hamlet,,Mixiao,-2634262,PPL,populated place,GNS
22.903611,120.629722,hamlet,,Xinxing,6005312,PPL,populated place,GNS
23.151389,120.804722,hamlet,,Liuzuotun,-2633528,PPL,populated place,GNS
22.916667,120.75,hamlet,,Maolin Xiang,-2634056,PPL,populated place,GNS
22.85,120.333333,hamlet,,Chaofengsi,-2627133,PPL,populated place,GNS
22.716667,120.35,hamlet,,Yanchengzi,-2640678,PPL,populated place,GNS
22.616667,120.35,hamlet,,Xiacaiyuan,-2630750,PPL,populated place,GNS
22.55,120.3,hamlet,,Bengxi,-2635558,PPL,populated place,GNS
22.683333,120.416667,hamlet,,Wuwayao,-2640582,PPL,populated place,GNS
22.9,120.566667,hamlet,,Xipianshan,-2631452,PPL,populated place,GNS
23.133333,120.783333,hamlet,,Touzihuo,-2639251,PPL,populated place,GNS
23.253611,120.859722,hamlet,,Weijinqiao,6064838,PPL,populated place,GNS
22.816667,120.316667,hamlet,,Shamaoshi,-2636330,PPL,populated place,GNS
22.786944,120.362222,hamlet,,Rongjia,-2632127,PPL,populated place,GNS
22.75,120.233333,hamlet,,Zhigaoliao,-2627803,PPL,populated place,GNS
22.683333,120.366667,hamlet,,Chishanhu,-2627850,PPL,populated place,GNS
22.683333,120.366667,hamlet,,Wusongzhuang,-2640528,PPL,populated place,GNS
22.966667,120.483333,hamlet,,Xiguaicuo,-2630942,PPL,populated place,GNS
22.566667,120.333333,hamlet,,Gangqiancun,-2632196,PPL,populated place,GNS
22.533333,120.383333,hamlet,,Qingshuisi,-2628090,PPL,populated place,GNS
22.783333,120.4,hamlet,,Zhuqi,-2628550,PPL,populated place,GNS
22.8,120.4,hamlet,,Wushanding,-2640503,PPL,populated place,GNS
23.001667,120.548889,hamlet,,Shanlin,-2636516,PPL,populated place,GNS
22.933333,120.683333,hamlet,,Majia,-2633929,PPL,populated place,GNS
23.316667,120.8,hamlet,,Yuantun,-2640845,PPL,populated place,GNS
23.15,120.783333,hamlet,,Salao,-2635985,PPL,populated place,GNS
22.7,120.316667,hamlet,,Dingwuguai,-2639131,PPL,populated place,GNS
22.666667,120.316667,hamlet,,Dingxi,-2638979,PPL,populated place,GNS
22.633333,120.3,hamlet,,Tianliao,-2638802,PPL,populated place,GNS
22.683333,120.283333,hamlet,,Yongqingta,-2640984,PPL,populated place,GNS
22.6,120.333333,hamlet,,Tianliao,-2638801,PPL,populated place,GNS
22.633333,120.333333,hamlet,,Guandimiao,-2632682,PPL,populated place,GNS
22.666667,120.3,hamlet,,Congziliao,-2639449,PPL,populated place,GNS
22.65,120.3,hamlet,,Anzhong,-2626895,PPL,populated place,GNS
22.683333,120.283333,hamlet,,Buhou,-2635881,PPL,populated place,GNS
22.65,120.3,hamlet,,Xindagang,-2631354,PPL,populated place,GNS
22.633333,120.333333,hamlet,,Shitou,-2637001,PPL,populated place,GNS
22.616667,120.3,hamlet,,Linxi,-2633316,PPL,populated place,GNS
22.633333,120.333333,hamlet,,Zhenxili,-2627243,PPL,populated place,GNS
22.548242,120.302373,hamlet,,Zhangjiazhuang,-2627023,PPL,populated place,GNS
22.600267,120.331233,hamlet,,Laoyali,-2633161,PPL,populated place,GNS
